1,STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,
70,AK,00,n/a,,,,,District Votes:,,"289,804",,,,,,,,
71,AK,,n/a,,,,,,,,,,,,,,,
72,AK,H,n/a,,,,,Total State Votes:,,"289,804",,,,,,,,
73,,,n/a,,,,,,,,,,,,,,,
74,AS,00,H0AS00018,(I),Eni F.H.,Faleomavaega,"Faleomavaega, Eni F.H.",,D,"7,221",55.22%,,,,,W,,
75,AS,00,H4AS00036,,Aumua,Amata,"Amata, Aumua",,CON,"4,420",33.80%,,,,,,,
76,AS,00,H8AS00052,,Rosie F. Tago,Lancaster,"Lancaster, Rosie F. Tago",,IND,697,5.33%,,,,,,,
77,AS,00,H2AS00055,,"Kereti, Jr.",Mata'utia,"Mata'utia, Kereti, Jr.",,D,438,3.35%,,,,,,,
78,AS,00,H2AS00063,,Fatumalala Leulua'iali'i A.,Al-Sheri,"Al-Sheri, Fatumalala Leulua'iali'i A.",,NPA,300,2.29%,,,,,,,
79,AS,00,n/a,,,,,District Votes:,,"13,076",,,,,,,,
80,AS,,n/a,,,,,,,,,,,,,,,
81,AS,H,n/a,,,,,Total State Votes:,,"13,076",,,,,,,,
82,,,n/a,,,,,,,,,,,,,,,
83,AZ,,n/a,,,,DISTRICT 1,,,,,,,,,,,
84,AZ,01,H8AZ01104,,Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,"122,774",48.80%,,,,,W,,
85,AZ,01,H2AZ01271,,Wenona,Benally Baldenegro,"Benally Baldenegro, Wenona",,D,,,,,,,,,
86,AZ,01,n/a,,,,,Party Votes:,D,,,,,,,,,
87,AZ,01,H0AZ08056,,Jonathan,Paton,"Paton, Jonathan",,R,"113,594",45.15%,,,,,,,
88,AZ,01,H2AZ01305,,Gaither,Martin,"Martin, Gaither",,R,,,,,,,,,
89,AZ,01,H2AZ01289,,Douglas,Wade,"Wade, Douglas",,R,,,,,,,,,
90,AZ,01,H2AZ01313,,Patrick,Gatti,"Gatti, Patrick",,R,,,,,,,,,
91,AZ,01,n/a,,,,,Party Votes:,R,,,,,,,,,
92,AZ,01,H2AZ01321,,Kim,Allen,"Allen, Kim",,W(LIB)/LIB,"15,227",6.05%,,,,,,,
93,AZ,01,n/a,,,,,Party Votes:,LIB,,,,,,,,,
94,AZ,01,n/a,,,,,District Votes:,,"251,595",,,,,,,,
95,AZ,,n/a,,,,DISTRICT 2,,,,,,,,,,,
96,AZ,02,H2AZ08094,(I),Ron ,Barber,"Barber, Ron ",,D,"147,338",50.41%,,,,,W,,
97,AZ,02,H2AZ08078,,Matt,Heinz,"Heinz, Matt",,D,,,,,,,,,
98,AZ,02,H2AZ08128,,Charlie,Manolakis,"Manolakis, Charlie",,W(D),,,,,,,,,
99,AZ,02,n/a,,,,,Party Votes:,D,,,,,,,,,
100,AZ,02,H2AZ08102,,Martha ,McSally,"McSally, Martha ",,R,"144,884",49.57%,,,,,,,
101,AZ,02,H2AZ08110,,Mark,Koskiniemi,"Koskiniemi, Mark",,R,,,,,,,,,
102,AZ,02,n/a,,,,,Party Votes:,R,,,,,,,,,
103,AZ,02,H2AZ08045,,Anthony,Prowell,"Prowell, Anthony",,W,57,0.02%,,,,,,,
104,AZ,02,n/a,,,,,District Votes:,,"292,279",,,,,,,,
105,AZ,,n/a,,,,DISTRICT 3,,,,,,,,,,,
106,AZ,03,H2AZ07070,(I),Raúl M.,Grijalva,"Grijalva, Raúl M.",,D,"98,468",58.37%,,,,,W,,
107,AZ,03,H2AZ03137,,Amanda,Aguirre,"Aguirre, Amanda",,D,,,,,,,,,
108,AZ,03,H2AZ03111,,Manny,Arreguin,"Arreguin, Manny",,D,,,,,,,,,
109,AZ,03,n/a,,,,,Party Votes:,D,,,,,,,,,
110,AZ,03,H2AZ07146,,Gabriela,Saucedo Mercer,"Saucedo Mercer, Gabriela",,R,"62,663",37.15%,,,,,,,
111,AZ,03,H2AZ07161,,Jaime,Vasquez,"Vasquez, Jaime",,R,,,,,,,,,
112,AZ,03,n/a,,,,,Party Votes:,R,,,,,,,,,
113,AZ,03,H2AZ03145,,Blanca,Guerra,"Guerra, Blanca",,LIB,"7,567",4.49%,,,,,,,
114,AZ,03,n/a,,,,,Party Votes:,LIB,,,,,,,,,
115,AZ,03,n/a,,,,,District Votes:,,"168,698",,,,,,,,
116,AZ,,n/a,,,,DISTRICT 4,,,,,,,,,,,
117,AZ,04,H0AZ01259,(I),Raul,Gosar,"Gosar, Raul",,R,"162,907",66.83%,,,,,W,,
118,AZ,04,H2AZ04135,,Ron ,Gould,"Gould, Ron ",,R,,,,,,,,,
119,AZ,04,H4AZ02093,,Rick,Murphy,"Murphy, Rick",,R,,,,,,,,,
120,AZ,04,n/a,,,,,Party Votes:,R,,,,,,,,,
121,AZ,04,H2AZ04150,,Johnnie,Robinson,"Robinson, Johnnie",,D,"69,154",28.37%,,,,,,,
122,AZ,04,H2AZ04143,,Mikel,Weisser,"Weisser, Mikel",,D,,,,,,,,,
123,AZ,04,n/a,,,,,Party Votes:,D,,,,,,,,,
124,AZ,04,H2AZ04176,,Joe,Pamelia,"Pamelia, Joe",,LIB,"9,306",3.82%,,,,,,,
125,AZ,04,n/a,,,,,Party Votes:,LIB,,,,,,,,,
126,AZ,04,H8AZ06012,,Richard,Grayson,"Grayson, Richard",,W(AE)/AE,"2,393",0.98%,,,,,,,
127,AZ,04,n/a,,,,,Party Votes:,AE,,,,,,,,,
128,AZ,04,n/a,,,,,District Votes:,,"243,760",,,,,,,,
129,AZ,,n/a,,,,DISTRICT 5,,,,,,,,,,,
130,AZ,05,H4AZ01038,,Matt,Salmon,"Salmon, Matt",,R,"183,470",67.19%,,,,,W,,
131,AZ,05,H2AZ06148,,Kirk,Adams,"Adams, Kirk",,R,,,,,,,,,
132,AZ,05,n/a,,,,,Party Votes:,R,,,,,,,,,
133,AZ,05,H2AZ05140,,Spencer,Morgan,"Morgan, Spencer",,D,"89,589",32.81%,,,,,,,
134,AZ,05,n/a,,,,,Party Votes:,D,,,,,,,,,
135,AZ,05,n/a,,,,,District Votes:,,"273,059",,,,,,,,
136,AZ,,n/a,,,,DISTRICT 6,,,,,,,,,,,
137,AZ,06,H4AZ06045,(I),David,Schweikert,"Schweikert, David",,R,"179,706",61.30%,,,,,W,,
138,AZ,06,H0AZ03362,(I),Ben,Quayle,"Quayle, Ben",,R,,,,,,,,,
139,AZ,06,n/a,,,,,Party Votes:,R,,,,,,,,,
140,AZ,06,H2AZ06171,,Matt,Jette,"Jette, Matt",,D,"97,666",33.31%,,,,,,,
141,AZ,06,H2AZ05132,,W. John,Williamson,"Williamson, W. John",,D,,,,,,,,,
142,AZ,06,n/a,,,,,Party Votes:,D,,,,,,,,,
143,AZ,06,H2AZ06189,,Jack,Anderson,"Anderson, Jack",,LIB,"10,167",3.47%,,,,,,,
