1,STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,
899,FL,,n/a,,,,DISTRICT 14,,,,,,,,,,,
900,FL,14,H6FL11126,(I),Kathy ,Castor,"Castor, Kathy ",,D,"197,121",70.25%,,,,,W,,
901,FL,14,H2FL11091,,"Evelio ""EJ""",Otero,"Otero, Evelio ""EJ""",,R,"83,480",29.75%,,,,,,,
902,FL,14,H6FL11175,,"Eddie, Jr.",Adams,"Adams, Eddie, Jr.",,R,,,,,,,,,
903,FL,14,n/a,,,,,Party Votes:,R,,,,,,,,,
904,FL,14,H2FL14013,,Bill,Kee,"Kee, Bill",,NPA,,,,,,,,,
905,FL,14,n/a,,,,,District Votes:,,"280,601",,,,,,,,
906,FL,,n/a,,,,DISTRICT 15,,,,,,,,,,,
907,FL,15,H0FL12101,(I),Dennis,Ross,"Ross, Dennis",,R,Unopposed,,,,,,W,,
908,FL,16,n/a,,,,,District Votes:,,,,,,,,,,
909,FL,,n/a,,,,DISTRICT 16,,,,,,,,,,,
910,FL,16,H6FL13148,(I),Vern,Buchanan,"Buchanan, Vern",,R,"187,147",53.61%,,,,,W,,
911,FL,16,H2FL13188,,Keith ,Fitzgerald,"Fitzgerald, Keith ",,D,"161,929",46.39%,,,,,,,
912,FL,16,n/a,,,,,District Votes:,,"349,076",,,,,,,,
913,FL,,n/a,,,,DISTRICT 17,,,,,,,,,,,
914,FL,17,H8FL16022,(I),Tom,Rooney,"Rooney, Tom",,R,"165,488",58.63%,,,,,W,,
915,FL,17,H2FL16082,,Joe ,Arnold,"Arnold, Joe ",,R,,,,,,,,,
916,FL,17,n/a,,,,,Party Votes:,R,,,,,,,,,
917,FL,17,H2FL00300,,William ,Bronson,"Bronson, William ",,D,"116,766",41.37%,,,,,,,
918,FL,17,H2FL17080,,Tom,Baumann,"Baumann, Tom",,W,12,0.00%,,,,,,,
919,FL,17,n/a,,,,,District Votes:,,"282,266",,,,,,,,
920,FL,,n/a,,,,DISTRICT 18,,,,,,,,,,,
921,FL,18,H2FL22072,,Patrick ,Murphy,"Murphy, Patrick ",,D,"166,257",50.28%,,,,,W,,
922,FL,18,H0FL16052,,Jim,Horn,"Horn, Jim",,D,,,,,,,,,
923,FL,18,H2FL21025,,Jerry Lee,Buechler,"Buechler, Jerry Lee",,D,,,,,,,,,
924,FL,18,n/a,,,,,Party Votes:,D,,,,,,,,,
925,FL,18,H8FL22038,(I),Allen B.,West,"West, Allen B.",,R,"164,353",49.70%,,,,,,,
926,FL,18,H2FL18062,,Robert L.,Crowder,"Crowder, Robert L.",,R,,,,,,,,,
927,FL,18,n/a,,,,,Party Votes:,R,,,,,,,,,
928,FL,18,H2FL18070,,Marilyn Davis,Holloman,"Holloman, Marilyn Davis",,W,55,0.02%,,,,,,,
929,FL,18,n/a,,,,,,,,,,,,,,,
930,FL,18,n/a,,,,,District Votes:,,"330,665",,,,,,,,
931,FL,,n/a,,,,DISTRICT 19,,,,,,,,,,,
932,FL,19,H2FL14194,,Trey,Radel,"Radel, Trey",,R,"189,833",61.99%,,,,,W,,
933,FL,19,H2FL14152,,Chauncey Porter,Goss,"Goss, Chauncey Porter",,R,,,,,,,,,
934,FL,19,H2FL00284,,Paige ,Kreegel,"Kreegel, Paige ",,R,,,,,,,,,
935,FL,19,H2FL14145,,Gary ,Aubuchon,"Aubuchon, Gary ",,R,,,,,,,,,
936,FL,19,H2FL14186,,Byron ,Donalds,"Donalds, Byron ",,R,,,,,,,,,
937,FL,19,H2FL14111,,Joe,Davidow,"Davidow, Joe",,R,,,,,,,,,
938,FL,19,n/a,,,,,Party Votes:,R,,,,,,,,,
939,FL,19,H0FL14065,,Jim ,Roach,"Roach, Jim ",,D,"109,746",35.84%,,,,,,,
940,FL,19,H2FL19102,,Brandon M. ,Smith,"Smith, Brandon M. ",,NPA,"6,637",2.17%,,,,,,,
941,FL,19,n/a,,,,,District Votes:,,"306,216",,,,,,,,
942,FL,,n/a,,,,DISTRICT 20,,,,,,,,,,,
943,FL,20,H2FL23021,(I),Alcee L.,Hastings,"Hastings, Alcee L.",,D,"214,727",87.90%,,,,,W,,
944,FL,20,H2FL20100,,Randall ,Terry,"Terry, Randall ",,NPA,"29,553",12.10%,,,,,,,
945,FL,20,H2FL20118,,Anthony M.,Dutrow,"Dutrow, Anthony M.",,W,5,0.00%,,,,,,,
946,FL,20,n/a,,,,,District Votes:,,"244,285",,,,,,,,
947,FL,,n/a,,,,DISTRICT 21,,,,,,,,,,,
948,FL,21,H0FL19080,(I),Ted ,Deutch,"Deutch, Ted ",,D,"221,263",77.80%,,,,,W,,
949,FL,21,H2FL21066 ,,"W. Michael ""Mike""",Trout,"Trout, W. Michael ""Mike""",,NPA,"37,776",13.28%,,,,,,,
950,FL,21,H2FL19094,,Cesar ,Henao,"Henao, Cesar ",,NPA,"25,361",8.92%,,,,,,,
951,FL,21,n/a,,,,,District Votes:,,"284,400",,,,,,,,
952,FL,,n/a,,,,DISTRICT 22,,,,,,,,,,,
953,FL,22,H2FL14053,,Lois ,Frankel,"Frankel, Lois ",,D,"171,021",54.63%,,,,,W,,
954,FL,22,H2FL22106,,Kristin,Jacobs,"Jacobs, Kristin",,D,,,,,,,,,
955,FL,22,n/a,,,,,Party Votes:,D,,,,,,,,,
956,FL,22,H2FL22098,,Adam ,Hasner,"Hasner, Adam ",,R,"142,050",45.37%,,,,,,,
957,FL,22,n/a,,,,,District Votes:,,"313,071",,,,,,,,
958,FL,,n/a,,,,DISTRICT 23,,,,,,,,,,,
959,FL,23,H4FL20023,(I),Debbie,Wasserman Schultz,"Wasserman Schultz, Debbie",,D,"174,205",63.25%,,,,,W,,
960,FL,23,H0FL20070,,Karen,Harrington,"Harrington, Karen",,R,"98,096",35.62%,,,,,,,
961,FL,23,H2FL20043,,"Joseph ""Joe""",Kaufman,"Kaufman, Joseph ""Joe""",,R,,,,,,,,,
962,FL,23,H2FL23088,,Ozzie ,deFaria,"deFaria, Ozzie ",,R,,,,,,,,,
963,FL,23,H2FL20076,,Juan Eliel,Garcia,"Garcia, Juan Eliel",,R,,,,,,,,,
964,FL,23,H2FL20092,,Gineen ,Bresso,"Bresso, Gineen ",,R,,,,,,,,,
965,FL,23,n/a,,,,,Party Votes:,R,,,,,,,,,
966,FL,23,H2FL23096 ,,IIya,Katz,"Katz, IIya",,NPA,"3,129",1.14%,,,,,,,
967,FL,23,n/a,,,,,District Votes:,,"275,430",,,,,,,,
968,FL,,n/a,,,,DISTRICT 24,,,,,,,,,,,
969,FL,24,H0FL17068,(I),Frederica S.,Wilson,"Wilson, Frederica S.",,D,Unopposed,,,,,,W,,
970,FL,24,H0FL17118,,"Rudolph ""Rudy""",Moise,"Moise, Rudolph ""Rudy""",,D,,,,,,,,,
971,FL,24,n/a,,,,,Party Votes:,D,,,,,,,,,
972,FL,24,n/a,,,,,District Votes:,,,,,,,,,,
973,FL,,n/a,,,,DISTRICT 25,,,,,,,,,,,
974,FL,25,H2FL25018,(I),Mario ,Diaz-Balart,"Diaz-Balart, Mario ",,R,"151,466",75.65%,,,,,W,,
975,FL,25,H0FL20104,,Stanley ,Blumenthal,"Blumenthal, Stanley ",,NPA,"31,664",15.81%,,,,,,,
976,FL,25,H2FL25059 ,,,VoteForEddie.Com,VoteForEddie.Com,,NPA,"17,099",8.54%,,,,,,,
977,FL,25,n/a,,,,,District Votes:,,"200,229",,,,,,,,
978,FL,,n/a,,,,DISTRICT 26,,,,,,,,,,,
979,FL,26,H8FL25015,,Joe,Garcia,"Garcia, Joe",,D,"135,694",53.64%,,,,,W,,
980,FL,26,H2FL26032,,Gloria,Romero Roses,"Romero Roses, Gloria",,D,,,,,,,,,
981,FL,26,H2FL25042,,Lamar,Sternad,"Sternad, Lamar",,D,,,,,,,,,
982,FL,26,H2FL26040,,Gustavo ,Marin,"Marin, Gustavo ",,D,,,,,,,,,
983,FL,26,n/a,,,,,Party Votes:,D,,,,,,,,,
984,FL,26,H0FL25038,(I),David,Rivera,"Rivera, David",,R,"108,820",43.02%,,,,,,,
985,FL,26,H2FL26065 ,,Angel ,Fernandez,"Fernandez, Angel ",,NPA,"5,726",2.26%,,,,,,,
986,FL,26,H2FL18054,,Jose,Peixoto,"Peixoto, Jose",,NPA,"2,717",1.07%,,,,,,,
987,FL,26,n/a,,,,,District Votes:,,"252,957",,,,,,,,
988,FL,,n/a,,,,DISTRICT 27,,,,,,,,,,,
989,FL,27,H0FL18025,(I),Ileana,Ros-Lehtinen,"Ros-Lehtinen, Ileana",,R,"138,488",60.17%,,,,,W,,
990,FL,27,H2FL27014,,Manny ,Yevancey,"Yevancey, Manny ",,D,"85,020",36.94%,,,,,,,
991,FL,27,H2FL27030,,Thomas Joe,Cruz-Wiggins,"Cruz-Wiggins, Thomas Joe",,NPA,"6,663",2.89%,,,,,,,
992,FL,27,n/a,,,,,District Votes:,,"230,171",,,,,,,,
993,FL,,n/a,,,,,,,,,,,,,,,
994,FL,H,n/a,,,,,Total State Votes:,,"7,513,534",,,,,,,,
995,FL,,n/a,,,,,,,,,,,,,,,
996,FL,S,S8FL00166,(I),Bill ,Nelson,"Nelson, Bill ",,D,"4,523,451",55.23%,,,,,W,,
997,FL,S,S0FL00478,,Glen A.,Burkett,"Burkett, Glen A.",,D,,,,,,,,,
998,FL,S,n/a,,,,,Party Votes:,D,,,,,,,,,
999,FL,S,S2FL00334,,Connie ,Mack,"Mack, Connie ",,R,"3,458,267",42.23%,,,,,,,
1000,FL,S,S2FL00375,,Dave ,Weldon,"Weldon, Dave ",,R,,,,,,,,,
1001,FL,S,S2FL00201,,Mike ,McCalister,"McCalister, Mike ",,R,,,,,,,,,
1002,FL,S,S2FL00300,,Marielena,Stuart,"Stuart, Marielena",,R,,,,,,,,,
1003,FL,S,n/a,,,,,Party Votes:,R,,,,,,,,,
1004,FL,S,S2FL00359,,Bill ,Gaylor,"Gaylor, Bill ",,NPA,"126,079",1.54%,,,,,,,
1005,FL,S,S2FL00326,,Chris ,Borgia,"Borgia, Chris ",,NPA,"82,089",1.00%,,,,,,,
1006,FL,S,S2FL00383,,Naomi,Craine,"Craine, Naomi",,W,19,0.00%,,,,,,,
1007,FL,S,S6FL00251,,Lawrence Sidney,Scott,"Scott, Lawrence Sidney",,W,18,0.00%,,,,,,,
1008,FL,S,S0FL00577,,Robert,Monroe,"Monroe, Robert",,W,12,0.00%,,,,,,,
1009,FL,S,S4FL00272,,Piotr,Blass,"Blass, Piotr",,W,9,0.00%,,,,,,,
1010,FL,S,S2FL00391,,Lionel ,Long,"Long, Lionel ",,W,2,0.00%,,,,,,,
1011,FL,S,n/a,,,,,Total State Votes:,,"8,189,946",,,,,,,,
1012,,,n/a,,,,,,,,,,,,,,,
1013,GA,,n/a,,,,DISTRICT 1,,,,,,,,,,,
1014,GA,01,H2GA01157,(I),Jack ,Kingston,"Kingston, Jack ",,R,"157,181",62.98%,,,,,W,,
1015,GA,01,n/a,,,,,Party Votes:,R,,,,,,,,,
1016,GA,01,H2GA01231,,Lesli Rae,Messinger,"Messinger, Lesli Rae",,D,"92,399",37.02%,,,,,,,
1017,GA,01,H2GA01223,,Nathan C.,Russo,"Russo, Nathan C.",,D,,,,,,,,,
1018,GA,01,n/a,,,,,Party Votes:,D,,,,,,,,,
1019,GA,01,n/a,,,,,District Votes:,,"249,580",,,,,,,,
1020,GA,,n/a,,,,DISTRICT 2,,,,,,,,,,,
1021,GA,02,H2GA02031,(I),Sanford,Bishop,"Bishop, Sanford",,D,"162,751",63.78%,,,,,W,,
1022,GA,02,n/a,,,,,Party Votes:,D,,,,,,,,,
1023,GA,02,H2GA02114,,John,House,"House, John",,R,"92,410",36.22%,,,,,,,
1024,GA,02,H0GA02241,,Rick,Allen,"Allen, Rick",,R,,,,,,,,,
1025,GA,02,H0GA08040,,Ken,DeLoach,"DeLoach, Ken",,R,,,,,,,,,
1026,GA,02,n/a,,,,,Party Votes:,R,,,,,,,,,
1027,GA,02,n/a,,,,,District Votes:,,"255,161",,,,,,,,
1028,GA,,n/a,,,,DISTRICT 3,,,,,,,,,,,
1029,GA,03,H4GA08067,(I),Lynn,Westmoreland,"Westmoreland, Lynn",,R,"232,380",99.95%,,,,,W,,
1030,GA,03,H0GA13099,,"""Chip""",Flanegan,"Flanegan, ""Chip""",,R,,,,,,,,,
1031,GA,03,H2GA03138,,Kent,Kingsley,"Kingsley, Kent",,R,,,,,,,,,
1032,GA,03,n/a,,,,,Party Votes:,R,,,,,,,,,
1033,GA,03,H2GA03146,,David,Ferguson,"Ferguson, David",,W,105,0.05%,,,,,,,
1034,GA,03,n/a,,,,,District Votes:,,"232,485",,,,,,,,
1035,GA,,n/a,,,,DISTRICT 4,,,,,,,,,,,
1036,GA,04,H6GA04129,(I),"Henry C. ""Hank""",Johnson,"Johnson, Henry C. ""Hank""",,D,"208,861",73.55%,,,,,W,,
1037,GA,04,H2GA04169,,"Courtney L., Sr.",Dillard,"Dillard, Courtney L., Sr.",,D,,,,,,,,,
1038,GA,04,H2GA04177,,Lincoln,Nunnally,"Nunnally, Lincoln",,D,,,,,,,,,
1039,GA,04,n/a,,,,,Party Votes:,D,,,,,,,,,
1040,GA,04,H2GA04144,,J. Chris,Vaughn,"Vaughn, J. Chris",,R,"75,041",26.43%,,,,,,,
1041,GA,04,H2GA04151,,Greg,Pallen,"Pallen, Greg",,R,,,,,,,,,
1042,GA,04,n/a,,,,,Party Votes:,R,,,,,,,,,
1043,GA,04,H2GA11016,,Cynthia,McKinney,"McKinney, Cynthia",,W,58,0.02%,,,,,,,
1044,GA,04,H2GA04185,,Rachele,Fruit,"Fruit, Rachele",,W,2,0.00%,,,,,,,
1045,GA,04,n/a,,,,,District Votes:,,"283,962",,,,,,,,
1046,GA,,n/a,,,,DISTRICT 5,,,,,,,,,,,
1047,GA,05,H6GA05217,(I),John,Lewis,"Lewis, John",,D,"234,330",84.39%,,,,,W,,
1048,GA,05,H2GA05125,,Michael,Johnson,"Johnson, Michael",,D,,,,,,,,,
1049,GA,05,n/a,,,,,Party Votes:,D,,,,,,,,,
1050,GA,05,H2GA05133,,Howard,Stopeck,"Stopeck, Howard",,R,"43,335",15.61%,,,,,,,
1051,GA,05,n/a,,,,,Party Votes:,R,,,,,,,,,
1052,GA,05,H2GA05141,,John,Benson,"Benson, John",,W,12,0.00%,,,,,,,
1053,GA,05,H4GA04058,,Raymond,Davis,"Davis, Raymond",,W,12,0.00%,,,,,,,
1054,GA,05,n/a,,,,,District Votes:,,"277,689",,,,,,,,
1055,GA,,n/a,,,,DISTRICT 6,,,,,,,,,,,
1056,GA,06,H4GA06087,(I),Tom ,Price,"Price, Tom ",,R,"189,669",64.51%,,,,,W,,
1057,GA,06,n/a,,,,,Party Votes:,R,,,,,,,,,
1058,GA,06,H2GA06115,,Jeff,Kazanow,"Kazanow, Jeff",,D,"104,365",35.49%,,,,,,,
1059,GA,06,H2GA06107,,Robert,Montigel,"Montigel, Robert",,D,,,,,,,,,
1060,GA,06,n/a,,,,,Party Votes:,D,,,,,,,,,
1061,GA,06,n/a,,,,,District Votes:,,"294,034",,,,,,,,
1062,GA,,n/a,,,,DISTRICT 7,,,,,,,,,,,
1063,GA,07,H0GA07133,(I),Rob,Woodall,"Woodall, Rob",,R,"156,689",62.16%,,,,,W,,
1064,GA,07,H2GA07105,,David,Hancock,"Hancock, David",,R,,,,,,,,,
1065,GA,07,n/a,,,,,Party Votes:,R,,,,,,,,,
1066,GA,07,H2GA07097,,Steve,Reilly,"Reilly, Steve",,D,"95,377",37.84%,,,,,,,
1067,GA,07,n/a,,,,,Party Votes:,D,,,,,,,,,
1068,GA,07,n/a,,,,,District Votes:,,"252,066",,,,,,,,
1069,GA,,n/a,,,,DISTRICT 8,,,,,,,,,,,
1070,GA,08,H0GA08099,(I),Austin,Scott,"Scott, Austin",,R,"197,789",100.00%,,,,,W,,
1071,GA,08,n/a,,,,,Party Votes:,R,,,,,,,,,
1072,GA,08,n/a,,,,,District Votes:,,"197,789",,,,,,,,
1073,GA,,n/a,,,,DISTRICT 9,,,,,,,,,,,
1074,GA,09,H2GA09150,,Doug,Collins,"Collins, Doug",,R,"192,101",76.18%,,,,,W,,
1075,GA,09,H2GA09143,,Martha,Zoller,"Zoller, Martha",,R,,,,,,,,,
1076,GA,09,H2GA09176,,Roger D.,Fitzpatrick,"Fitzpatrick, Roger D.",,R,,,,,,,,,
1077,GA,09,n/a,,,,,Party Votes:,R,,,,,,,,,
1078,GA,09,H2GA09200,,Jody,Cooley,"Cooley, Jody",,D,"60,052",23.82%,,,,,,,
1079,GA,09,n/a,,,,,Party Votes:,D,,,,,,,,,
1080,GA,09,n/a,,,,,District Votes:,,"252,153",,,,,,,,
1081,GA,,n/a,,,,DISTRICT 10,,,,,,,,,,,
1082,GA,10,H8GA10049,(I),Paul C.,Broun,"Broun, Paul C.",,R,"211,065",99.81%,,,,,W,,
1083,GA,10,H2GA10117,,Stephen K.,Simpson,"Simpson, Stephen K.",,R,,,,,,,,,
1084,GA,10,n/a,,,,,Party Votes:,R,,,,,,,,,
1085,GA,10,H6GA09227,,Brian Russell,Brown,"Brown, Brian Russell",,W,401,0.19%,,,,,,,
1086,GA,10,n/a,,,,,District Votes:,,"211,466",,,,,,,,
1087,GA,,n/a,,,,DISTRICT 11,,,,,,,,,,,
1088,GA,11,H2GA11149,(I),Phil,Gingrey,"Gingrey, Phil",,R,"196,968",68.55%,,,,,W,,
1089,GA,11,H2GA11172,,Michael S.,Opitz,"Opitz, Michael S.",,R,,,,,,,,,
1090,GA,11,H2GA11198,,William,Llop,"Llop, William",,R,,,,,,,,,
1091,GA,11,n/a,,,,,Party Votes:,R,,,,,,,,,
1092,GA,11,H2GA11206,,Patrick,Thompson,"Thompson, Patrick",,D,"90,353",31.44%,,,,,,,
1093,GA,11,n/a,,,,,Party Votes:,D,,,,,,,,,
1094,GA,11,H2GA11180,,Allan,Levene,"Levene, Allan",,W,30,0.01%,,,,,,,
1095,GA,11,n/a,,,,,District Votes:,,"287,351",,,,,,,,
1096,GA,,n/a,,,,DISTRICT 12,,,,,,,,,,,
1097,GA,12,H4GA12010,(I),John,Barrow,"Barrow, John",,D,"139,148",53.70%,,,,,W,,
1098,GA,12,n/a,,,,,Party Votes:,D,,,,,,,,,
1099,GA,12,H2GA12105,,Lee,Anderson,"Anderson, Lee",,R,"119,973",46.30%,,,,,,,
1100,GA,12,H2GA12121,,Rick W.,Allen,"Allen, Rick W.",,R,,,,,,,,,
1101,GA,12,H2GA12113,,Wright,McLeod,"McLeod, Wright",,R,,,,,,,,,
1102,GA,12,H2GA12147,,Maria,Sheffield,"Sheffield, Maria",,R,,,,,,,,,
1103,GA,12,n/a,,,,,Party Votes:,R,,,,,,,,,
1104,GA,12,n/a,,,,,District Votes:,,"259,121",,,,,,,,
1105,GA,,n/a,,,,DISTRICT 13,,,,,,,,,,,
1106,GA,13,H2GA13012,(I),David,Scott,"Scott, David",,D,"201,988",71.74%,,,,,W,,
1107,GA,13,n/a,,,,,Party Votes:,D,,,,,,,,,
1108,GA,13,H2GA13053,,S.,Malik,"Malik, S.",,R,"79,550",28.26%,,,,,,,
1109,GA,13,n/a,,,,,Party Votes:,R,,,,,,,,,
1110,GA,13,n/a,,,,,District Votes:,,"281,538",,,,,,,,
1111,GA,,n/a,,,,DISTRICT 14,,,,,,,,,,,
1112,GA,14,H0GA09030,(I),Tom ,Graves,"Graves, Tom ",,R,"159,947",72.97%,,,,,W,,
1113,GA,14,n/a,,,,,Party Votes:,R,,,,,,,,,
1114,GA,14,H2GA14010,,"Daniel ""Danny""",Grant,"Grant, Daniel ""Danny""",,D,"59,245",27.03%,,,,,,,
1115,GA,14,n/a,,,,,Party Votes:,D,,,,,,,,,
1116,GA,14,n/a,,,,,District Votes:,,"219,192",,,,,,,,
1117,GA,,n/a,,,,,,,,,,,,,,,
1118,GA,H,n/a,,,,,Total State Votes:,,"3,553,587",,,,,,,,
1119,,,n/a,,,,,,,,,,,,,,,
1120,GU,00,H2GU00033,(I),Madeleine Z.,Bordallo,"Bordallo, Madeleine Z.",,D,"19,765",59.88%,,,,,W,,
1121,GU,00,H2GU01015,,Karlo,Dizon,"Dizon, Karlo",,D,,,,,,,,,
1122,GU,00,n/a,,,Scattered,Scattered,,W(D),,,,,,,,,
1123,GU,00,n/a,,,,,Party Votes:,D,,,,,,,,,
1124,GU,00,H2GU00066,,"Frank Flores, Jr.",Blas,"Blas, Frank Flores, Jr.",,R,"12,995",39.37%,,,,,,,
1125,GU,00,n/a,,,Scattered,Scattered,,W(R),,,,,,,,,
1126,GU,00,n/a,,,,,Party Votes:,R,,,,,,,,,
1127,GU,00,H8GU00022,,Jonathan Frank Blas,Diaz,"Diaz, Jonathan Frank Blas",,IND,,,,,,,,,
1128,GU,00,n/a,,,Scattered,Scattered,,W(IND),,,,,,,,,
1129,GU,00,n/a,,,,,Party Votes:,IND,,,,,,,,,
1130,GU,00,n/a,,,Scattered,Scattered,,W,246,0.75%,,,,,,,
1131,GU,00,n/a,,,,,District Votes:,,"33,006",,,,,,,,
1132,GU,,n/a,,,,,,,,,,,,,,,
1133,GU,H,n/a,,,,,Total State Votes:,,"33,006",,,,,,,,
1134,,,n/a,,,,,,,,,,,,,,,
1135,HI,,n/a,,,,DISTRICT 1,,,,,,,,,,,
1136,HI,01,H2HI02110,(I),Colleen W.,Hanabusa,"Hanabusa, Colleen W.",,D,"116,505",54.61%,,,,,W,,
1137,HI,01,H2HI01096,,Roy II (Sky),Wyttenbach,"Wyttenbach, Roy II (Sky)",,D,,,,,,,,,
1138,HI,01,n/a,,,,,Party Votes:,D,,,,,,,,,
1139,HI,01,H0HI01157,,Charles K.,Djou,"Djou, Charles K.",,R,"96,824",45.39%,,,,,,,
1140,HI,01,H8HI01176,,C. Kaui Jochanan,Amsterdam,"Amsterdam, C. Kaui Jochanan",,R,,,,,,,,,
1141,HI,01,H0HI01223,,John Raghu,Giuffre,"Giuffre, John Raghu",,R,,,,,,,,,
1142,HI,01,n/a,,,,,Party Votes:,R,,,,,,,,,
1143,HI,01,n/a,,,,,District Votes:,,"213,329",,,,,,,,
1144,HI,,n/a,,,,DISTRICT 2,,,,,,,,,,,
1145,HI,02,H2HI02508,,Tulsi,Gabbard,"Gabbard, Tulsi",,D,"168,503",80.54%,,,,,W,,
1146,HI,02,H6HI01113,,Mufi,Hannemann,"Hannemann, Mufi",,D,,,,,,,,,
1147,HI,02,H2HI00015,,Esther,Kia'Aina,"Kia'Aina, Esther",,D,,,,,,,,,
1148,HI,02,H2HI02516,,Bob,Marx,"Marx, Bob",,D,,,,,,,,,
1149,HI,02,H4HI02082,,Miles,Shiratori,"Shiratori, Miles",,D,,,,,,,,,
1150,HI,02,H0HI01165,,Rafael,Del Castillo,"Del Castillo, Rafael",,D,,,,,,,,,
1151,HI,02,n/a,,,,,Party Votes:,D,,,,,,,,,
1152,HI,02,H2HI02524,,Kawika,Crowley,"Crowley, Kawika",,R,"40,707",19.46%,,,,,,,
1153,HI,02,H2HI02532,,Matthew,DiGeronimo,"DiGeronimo, Matthew",,R,,,,,,,,,
1154,HI,02,n/a,,,,,Party Votes:,R,,,,,,,,,
1155,HI,02,n/a,,,,,District Votes:,,"209,210",,,,,,,,
1156,HI,,n/a,,,,,,,,,,,,,,,
1157,HI,H,n/a,,,,,Total State Votes:,,"422,539",,,,,,,,
1158,HI,,n/a,,,,,,,,,,,,,,,
1159,HI,S,S2HI00106,,Mazie,Hirono,"Hirono, Mazie",,D,"269,489",62.60%,,,,,W,,
1160,HI,S,S6HI00180,,Ed,Case,"Case, Ed",,D,,,,,,,,,
1161,HI,S,S0HI00118,,Arturo Pacheco (Art),Reyes,"Reyes, Arturo Pacheco (Art)",,D,,,,,,,,,
1162,HI,S,S2HI00148,,Michael D.,Gillespie,"Gillespie, Michael D.",,D,,,,,,,,,
1163,HI,S,S2HI00130,,Antonio,Gimbernat,"Gimbernat, Antonio",,D,,,,,,,,,
1164,HI,S,n/a,,,,,Party Votes:,D,,,,,,,,,
1165,HI,S,S2HI00114,,Linda,Lingle,"Lingle, Linda",,R,"160,994",37.40%,,,,,,,
1166,HI,S,S0HI00126,,John,Carroll,"Carroll, John",,R,,,,,,,,,
1167,HI,S,S0HI00183,,John P.,Roco,"Roco, John P.",,R,,,,,,,,,
1168,HI,S,S6HI00214,,Charles Augustine,Collins,"Collins, Charles Augustine",,R,,,,,,,,,
1169,HI,S,S6HI00222,,Eddie,Pirkowski,"Pirkowski, Eddie",,R,,,,,,,,,
1170,HI,S,n/a,,,,,Party Votes:,R,,,,,,,,,
1171,HI,S,S2HI00122,,Heath,Beasley,"Beasley, Heath",,N,,,,,,,,,
1172,HI,S,n/a,,,,,Party Votes:,N,,,,,,,,,
1173,HI,S,n/a,,,,,Total State Votes:,,"430,483",,,,,,,,
1174,,,n/a,,,,,,,,,,,,,,,
1175,ID,,n/a,,,,DISTRICT 1,,,,,,,,,,,
1176,ID,01,H0ID01253,(I),Raul R.,Labrador,"Labrador, Raul R.",,R,"199,402",62.96%,,,,,W,,
1177,ID,01,H2ID01143 ,,Reed C.,McCandless,"McCandless, Reed C.",,R,,,,,,,,,
1178,ID,01,n/a,,,,,Party Votes:,R,,,,,,,,,
1179,ID,01,H2ID01101,,Jimmy ,Farris,"Farris, Jimmy ",,D,"97,450",30.77%,,,,,,,
1180,ID,01,H2ID01119,,Cynthia ,Clinkingbeard,"Clinkingbeard, Cynthia ",,D,,,,,,,,,
1181,ID,01,n/a,,,,,Party Votes:,D,,,,,,,,,
1182,ID,01,H2ID01135 ,,Rob,Oates,"Oates, Rob",,LIB,"12,265",3.87%,,,,,,,
1183,ID,01,H2ID01127,,,Pro-Life,Pro-Life,,IND,"7,607",2.40%,,,,,,,
1184,ID,01,n/a,,,,,District Votes:,,"316,724",,,,,,,,
1185,ID,,n/a,,,,DISTRICT 2,,,,,,,,,,,
1186,ID,02,H81D02064,(I),Mike,Simpson,"Simpson, Mike",,R,"207,412",65.12%,,,,,W,,
1187,ID,02,H0ID02061,,"M.C. ""Chick""",Heileson,"Heileson, M.C. ""Chick""",,R,,,,,,,,,
1188,ID,02,n/a,,,,,Party Votes:,R,,,,,,,,,
1189,ID,02,H2ID02133,,Nicole,LeFavour,"LeFavour, Nicole",,D,"110,847",34.80%,,,,,,,
1190,ID,02,H0ID02053,,Jack Wayne ,Chappell,"Chappell, Jack Wayne ",,D/W,235,0.07%,,,,,,,
1191,ID,02,n/a,,,,,Party Votes:,D,,,,,,,,,
1192,ID,02,n/a,,,,,District Votes:,,"318,494",,,,,,,,
1193,ID,,n/a,,,,,,,,,,,,,,,
1194,ID,H,n/a,,,,,Total State Votes:,,"635,218",,,,,,,,
1195,,,n/a,,,,,,,,,,,,,,,
1196,IL,,n/a,,,,DISTRICT 1,,,,,,,,,,,
1197,IL,01,H2IL01042,(I),Bobby L.,Rush,"Rush, Bobby L.",,D,"236,854",73.82%,,,,,W,,
1198,IL,01,H2IL01158,,Raymond M.,Lodato,"Lodato, Raymond M.",,D,,,,,,,,,
1199,IL,01,H0IL01152,,Harold L.,Bailey,"Bailey, Harold L.",,D,,,,,,,,,
1200,IL,01,H2IL01174,,"Clifford M., Jr.",Russell,"Russell, Clifford M., Jr.",,D,,,,,,,,,
1201,IL,01,H0IL01137,,Fred,Smith,"Smith, Fred",,D,,,,,,,,,
